# Words the sentence generator will not use until reviewed.
# Format: word | category | tags        (# ... is a comment and is ignored)
# The category and tags below are the classifier's UNVERIFIED guess — correct them.
# Paste finished lines into Content Studio -> Category Editor -> "Paste many words at once".

欠席 | Object | noun, unclassified, concrete, n5   # absence
留守 | Building | building, concrete, n5   # absence; not at home
事故 | Event | n5   # accident
正確 | Object | noun, unclassified, concrete, n2   # accurate
達成 | Object | noun, unclassified, concrete, n2   # achievement
習得 | Object | noun, unclassified, concrete, n3   # acquisition; mastery
向かい | Object | i-adjective, concrete, n3   # across from
実際に | Object | noun, unclassified, concrete, n3   # actually; in fact
住所 | Object | noun, unclassified, concrete, n5   # address
午後 | Time | afternoon, time, n5   # afternoon; p.m.
同意 | Object | noun, unclassified, concrete, n2   # agreement
飛行機 | Object | airplane, aircraft, vehicle, transportation, travel, n5   # airplane
警報 | Object | noun, unclassified, concrete, n2   # alarm; warning
ずっと | Adverb | continuously, time, adverb, n4   # all the way; much more
全部 | Adverb | all, entirety, quantity, adverb, n4   # all; everything
救急車 | Object | noun, unclassified, concrete, n5   # ambulance
分析 | Activity | analysis, research, science, suru-verb, n2   # analysis
餌 | Animal | animal, concrete, n3   # animal feed; bait
記念日 | Time | anniversary, celebration, event, n3   # anniversary
答え | Object | noun, unclassified, concrete, n5   # answer
答え | Object | noun, unclassified, concrete, n5   # answer
予約 | Activity | reserve, planning, travel, suru-verb, n5   # appointment; reservation
適切 | Object | noun, unclassified, concrete, n2   # appropriate
約 | Object | noun, unclassified, concrete, n3   # approximately
広さ | Place | concrete, n3   # area; width
到着 | Object | noun, unclassified, concrete, n4   # arrival
美術館 | Place | museum, art, culture, tourism, indoor, public, n5   # art museum
選手 | Person | athlete, player, sport, occupation, n5   # athlete; player
出席 | Object | noun, unclassified, concrete, n5   # attendance
注意 | Object | noun, unclassified, concrete, n4   # attention; caution
秋 | Time | autumn, season, time, n5   # autumn
平均 | Object | noun, unclassified, concrete, n3   # average
背景 | Object | noun, unclassified, concrete, n1   # background
袋 | Object | noun, unclassified, concrete, n5   # bag
銀行 | Place | bank, finance, money, public, service, business, n5   # bank
紙幣 | Object | noun, unclassified, concrete, n5   # banknote
牛肉 | Food | meat, concrete, n5   # beef
後ろ | Place | behind, back, position, direction, n5   # behind
遅刻 | Activity | be-late, school, work, suru-verb, n4   # being late
感動 | Object | inspiration, emotion, abstract, n5   # being moved
自転車 | Vehicle | vehicle, concrete, n5   # bicycle
大きい | Adverb | large, size, i-adjective, n5   # big
会計 | Object | noun, unclassified, concrete, n5   # bill; checkout
伝票 | Object | noun, unclassified, concrete, n3   # bill; slip
鳥 | Person | bird, animal, living, n5   # bird
誕生 | Object | noun, unclassified, concrete, n3   # birth
苦い | Object | i-adjective, concrete, n5   # bitter
黒い | Object | i-adjective, concrete, n5   # black
紅茶 | Drink | drink, tea, concrete, n5   # black tea
黒板 | Object | noun, unclassified, concrete, n5   # blackboard
毛布 | Object | noun, unclassified, concrete, n5   # blanket
青い | Object | i-adjective, concrete, n5   # blue
体 | Person | body, human, health, n5   # body
盆踊り | Object | noun, unclassified, concrete, n2   # bon dance
上司 | Object | noun, unclassified, concrete, n5   # boss; supervisor
